orig.ident	nReads	nGene	celltype
TASSeq.deep-1_693354	TASSeq.deep-1	110329	4128	Tcell_CD8T
TASSeq.deep-1_693593	TASSeq.deep-1	28695	1371	FB_alveolar
TASSeq.deep-1_693862	TASSeq.deep-1	228317	6878	Epi_AT1
TASSeq.deep-1_693883	TASSeq.deep-1	66076	3679	Endo_capillary
TASSeq.deep-1_693935	TASSeq.deep-1	56464	3080	Endo_capillary
TASSeq.deep-1_694266	TASSeq.deep-1	110789	4555	Bcell
TASSeq.deep-1_694762	TASSeq.deep-1	242873	7210	NK
TASSeq.deep-1_695077	TASSeq.deep-1	189830	6886	doublet
TASSeq.deep-1_695796	TASSeq.deep-1	71487	2877	Pericyte
TASSeq.deep-1_695920	TASSeq.deep-1	119248	5068	FB_alveolar
TASSeq.deep-1_696026	TASSeq.deep-1	106874	3496	Endo_capillary
TASSeq.deep-1_696288	TASSeq.deep-1	60380	2442	Endo_capillary
TASSeq.deep-1_696379	TASSeq.deep-1	128518	4007	FB_alveolar
TASSeq.deep-1_696508	TASSeq.deep-1	105776	4000	doublet
TASSeq.deep-1_696648	TASSeq.deep-1	99796	3879	SMC
TASSeq.deep-1_696780	TASSeq.deep-1	73059	2881	SMC
TASSeq.deep-1_696817	TASSeq.deep-1	432190	7479	Epi_AT2
TASSeq.deep-1_696849	TASSeq.deep-1	83664	3826	Endo_capillary
TASSeq.deep-1_696904	TASSeq.deep-1	36780	1804	Mac_AM
TASSeq.deep-1_696928	TASSeq.deep-1	66571	2880	Endo_capillary
TASSeq.deep-1_696954	TASSeq.deep-1	362439	6914	Epi_AT2
TASSeq.deep-1_697145	TASSeq.deep-1	123444	4211	Tcell_Treg
TASSeq.deep-1_697178	TASSeq.deep-1	100582	3218	Endo_capillary
TASSeq.deep-1_697260	TASSeq.deep-1	61898	2585	Endo_capillary
TASSeq.deep-1_697402	TASSeq.deep-1	103386	3547	Endo_capillary
TASSeq.deep-1_697520	TASSeq.deep-1	75957	3252	Endo_capillary
TASSeq.deep-1_697529	TASSeq.deep-1	73048	2884	Bcell
TASSeq.deep-1_697596	TASSeq.deep-1	194223	5051	FB_alveolar
TASSeq.deep-1_697619	TASSeq.deep-1	130724	4927	FB_alveolar
TASSeq.deep-1_697654	TASSeq.deep-1	185282	5445	Mo_Ly6Chi
TASSeq.deep-1_697683	TASSeq.deep-1	123934	4955	FB_alveolar
TASSeq.deep-1_697873	TASSeq.deep-1	127529	3403	FB_peribronchiolar
TASSeq.deep-1_698684	TASSeq.deep-1	118447	3424	Epi_AT2
TASSeq.deep-1_698776	TASSeq.deep-1	104850	4197	Mo_Ly6Clo
TASSeq.deep-1_698809	TASSeq.deep-1	89489	3122	Endo_capillary
TASSeq.deep-1_699053	TASSeq.deep-1	166077	4859	Endo_capillary
TASSeq.deep-1_699457	TASSeq.deep-1	173619	5448	Tcell_gdT
TASSeq.deep-1_699484	TASSeq.deep-1	91810	3897	Bcell
TASSeq.deep-1_699560	TASSeq.deep-1	102320	3976	Tcell_CD4T
TASSeq.deep-1_699727	TASSeq.deep-1	87387	3925	Bcell
TASSeq.deep-1_699973	TASSeq.deep-1	203335	5780	Mo_Ly6Chi
TASSeq.deep-1_700466	TASSeq.deep-1	31863	2105	Epi_AT2
TASSeq.deep-1_701006	TASSeq.deep-1	46916	1844	FB_alveolar
TASSeq.deep-1_701233	TASSeq.deep-1	57632	2675	Endo_capillary
TASSeq.deep-1_701266	TASSeq.deep-1	87418	3189	Epi_AT1
TASSeq.deep-1_701423	TASSeq.deep-1	173830	4806	Endo_venous
TASSeq.deep-1_701463	TASSeq.deep-1	201492	4709	Tcell_gdT
TASSeq.deep-1_701592	TASSeq.deep-1	104759	4342	Bcell
TASSeq.deep-1_701641	TASSeq.deep-1	41329	2063	Endo_capillary
TASSeq.deep-1_701721	TASSeq.deep-1	250739	5659	DC_cDC2
TASSeq.deep-1_701755	TASSeq.deep-1	98860	3693	Bcell
TASSeq.deep-1_702099	TASSeq.deep-1	167144	5696	FB_alveolar
TASSeq.deep-1_702874	TASSeq.deep-1	114084	4489	Bcell
TASSeq.deep-1_703249	TASSeq.deep-1	177347	4294	FB_alveolar
TASSeq.deep-1_703571	TASSeq.deep-1	92703	3278	Endo_capillary
TASSeq.deep-1_704003	TASSeq.deep-1	34112	1287	Endo_capillary
TASSeq.deep-1_704045	TASSeq.deep-1	36079	2231	FB_alveolar
TASSeq.deep-1_704132	TASSeq.deep-1	107630	3827	Endo_aerocyte
TASSeq.deep-1_704311	TASSeq.deep-1	40757	1715	FB_alveolar
TASSeq.deep-1_704347	TASSeq.deep-1	124927	4535	Bcell
TASSeq.deep-1_704352	TASSeq.deep-1	168779	3777	Epi_AT2
TASSeq.deep-1_704831	TASSeq.deep-1	105955	4391	Bcell
TASSeq.deep-1_705059	TASSeq.deep-1	378661	7880	doublet
TASSeq.deep-1_705143	TASSeq.deep-1	93263	3188	Endo_capillary
TASSeq.deep-1_705197	TASSeq.deep-1	80410	3360	Bcell
TASSeq.deep-1_705198	TASSeq.deep-1	868068	10616	Mac_AM
TASSeq.deep-1_705348	TASSeq.deep-1	92449	3186	Endo_capillary
TASSeq.deep-1_705653	TASSeq.deep-1	89735	3539	Neutrophil
TASSeq.deep-1_705707	TASSeq.deep-1	53400	1903	Tcell_gdT
TASSeq.deep-1_706106	TASSeq.deep-1	141901	4962	Endo_capillary
TASSeq.deep-1_706638	TASSeq.deep-1	119482	3546	Endo_capillary
TASSeq.deep-1_706775	TASSeq.deep-1	52467	2369	FB_alveolar
TASSeq.deep-1_706779	TASSeq.deep-1	130142	3540	Endo_venous
TASSeq.deep-1_706895	TASSeq.deep-1	92013	3301	Endo_capillary
TASSeq.deep-1_706971	TASSeq.deep-1	33137	2561	Endo_capillary
TASSeq.deep-1_707047	TASSeq.deep-1	131898	4947	Tcell_CD4T
TASSeq.deep-1_707276	TASSeq.deep-1	89470	3691	Bcell
TASSeq.deep-1_707307	TASSeq.deep-1	439194	7392	Epi_AT2
TASSeq.deep-1_707412	TASSeq.deep-1	151760	4381	Endo_capillary
TASSeq.deep-1_707644	TASSeq.deep-1	126218	4448	Tcell_CD4T
TASSeq.deep-1_707695	TASSeq.deep-1	68201	3115	Bcell
TASSeq.deep-1_707784	TASSeq.deep-1	84017	3474	Epi_AT1
TASSeq.deep-1_707788	TASSeq.deep-1	91085	3490	Bcell
TASSeq.deep-1_707891	TASSeq.deep-1	127137	4861	Tcell_CD8T
TASSeq.deep-1_707982	TASSeq.deep-1	83090	3410	Mo_Ly6Clo
TASSeq.deep-1_708011	TASSeq.deep-1	97916	3383	Endo_capillary
TASSeq.deep-1_708016	TASSeq.deep-1	108082	3713	FB_alveolar
TASSeq.deep-1_708235	TASSeq.deep-1	359603	6995	Epi_AT2
TASSeq.deep-1_708287	TASSeq.deep-1	97987	4102	Endo_capillary
TASSeq.deep-1_708399	TASSeq.deep-1	66065	2666	FB_alveolar
TASSeq.deep-1_708575	TASSeq.deep-1	87867	2932	FB_alveolar
TASSeq.deep-1_709195	TASSeq.deep-1	191593	6442	Epi_AT1
TASSeq.deep-1_709340	TASSeq.deep-1	173212	5565	SMC
TASSeq.deep-1_709401	TASSeq.deep-1	116002	4075	Tcell_CD8T
TASSeq.deep-1_709516	TASSeq.deep-1	222240	5892	Mo_Ly6Clo
TASSeq.deep-1_709844	TASSeq.deep-1	120044	4421	Bcell
TASSeq.deep-1_710002	TASSeq.deep-1	131944	4068	Endo_aerocyte
TASSeq.deep-1_710030	TASSeq.deep-1	143426	5181	Bcell
TASSeq.deep-1_710153	TASSeq.deep-1	541223	8538	Mac_AM
TASSeq.deep-1_710229	TASSeq.deep-1	136180	5312	FB_alveolar
TASSeq.deep-1_710320	TASSeq.deep-1	128335	3070	Epi_AT2
TASSeq.deep-1_710617	TASSeq.deep-1	41901	1700	Endo_capillary
TASSeq.deep-1_710624	TASSeq.deep-1	362288	8222	Bcell
TASSeq.deep-1_710948	TASSeq.deep-1	94405	3956	Bcell
TASSeq.deep-1_711274	TASSeq.deep-1	133659	4113	Endo_venous
TASSeq.deep-1_711380	TASSeq.deep-1	65325	3374	Endo_capillary
TASSeq.deep-1_711523	TASSeq.deep-1	242228	7717	Epi_ciliated
TASSeq.deep-1_711630	TASSeq.deep-1	358856	7933	Epi_AT1
TASSeq.deep-1_711700	TASSeq.deep-1	205550	4684	FB_alveolar
TASSeq.deep-1_712300	TASSeq.deep-1	142013	5171	Bcell
TASSeq.deep-1_712660	TASSeq.deep-1	80032	2907	Endo_capillary
TASSeq.deep-1_713149	TASSeq.deep-1	234974	5649	Epi_AT2
TASSeq.deep-1_713205	TASSeq.deep-1	93759	3815	Endo_capillary
TASSeq.deep-1_713224	TASSeq.deep-1	146546	4966	Bcell
TASSeq.deep-1_713630	TASSeq.deep-1	154869	4842	FB_alveolar
TASSeq.deep-1_713676	TASSeq.deep-1	125019	4608	Endo_aerocyte
TASSeq.deep-1_713788	TASSeq.deep-1	124252	3625	FB_alveolar
TASSeq.deep-1_713887	TASSeq.deep-1	167877	5276	Mo_Ly6Clo
TASSeq.deep-1_713921	TASSeq.deep-1	93830	3455	Endo_capillary
TASSeq.deep-1_714198	TASSeq.deep-1	85194	3717	Bcell
TASSeq.deep-1_714538	TASSeq.deep-1	97310	3570	Endo_capillary
TASSeq.deep-1_714574	TASSeq.deep-1	28952	2200	Endo_capillary
TASSeq.deep-1_714747	TASSeq.deep-1	77050	3510	NK
TASSeq.deep-1_714898	TASSeq.deep-1	213878	6340	FB_alveolar
TASSeq.deep-1_714926	TASSeq.deep-1	83053	3629	Bcell
TASSeq.deep-1_715521	TASSeq.deep-1	55652	3016	Bcell
TASSeq.deep-1_715599	TASSeq.deep-1	90957	4034	FB_alveolar
TASSeq.deep-1_715624	TASSeq.deep-1	199660	5314	Endo_aerocyte
TASSeq.deep-1_715705	TASSeq.deep-1	142952	4331	FB_alveolar
TASSeq.deep-1_716047	TASSeq.deep-1	140874	4724	Endo_capillary
TASSeq.deep-1_716101	TASSeq.deep-1	86716	3713	Tcell_CD4T
TASSeq.deep-1_716205	TASSeq.deep-1	169181	4321	FB_peribronchiolar
TASSeq.deep-1_716377	TASSeq.deep-1	192219	5004	FB_alveolar
TASSeq.deep-1_716399	TASSeq.deep-1	65987	2789	Endo_aerocyte
TASSeq.deep-1_716956	TASSeq.deep-1	167509	5055	Mo_Ly6Chi
TASSeq.deep-1_717141	TASSeq.deep-1	223873	5540	doublet
TASSeq.deep-1_717488	TASSeq.deep-1	95728	3504	Neutrophil
TASSeq.deep-1_717532	TASSeq.deep-1	110675	4617	FB_adventitial
TASSeq.deep-1_717647	TASSeq.deep-1	68577	2651	Endo_capillary
TASSeq.deep-1_717795	TASSeq.deep-1	249679	6410	FB_alveolar
TASSeq.deep-1_717917	TASSeq.deep-1	483309	8189	FB_alveolar
TASSeq.deep-1_717999	TASSeq.deep-1	171364	5558	Tcell_gdT
TASSeq.deep-1_718107	TASSeq.deep-1	247610	5862	FB_alveolar
TASSeq.deep-1_718303	TASSeq.deep-1	100836	3425	Endo_capillary
TASSeq.deep-1_718304	TASSeq.deep-1	140121	4226	Endo_capillary
TASSeq.deep-1_718587	TASSeq.deep-1	168715	5430	Tcell_CD8T
TASSeq.deep-1_718602	TASSeq.deep-1	105802	3899	Bcell
TASSeq.deep-1_718663	TASSeq.deep-1	95707	3558	Endo_capillary
TASSeq.deep-1_718668	TASSeq.deep-1	47287	2507	NK
TASSeq.deep-1_718738	TASSeq.deep-1	80090	3225	Endo_capillary
TASSeq.deep-1_718791	TASSeq.deep-1	230057	6492	Tcell_CD4T
TASSeq.deep-1_718831	TASSeq.deep-1	186395	5201	Endo_LEC
TASSeq.deep-1_718876	TASSeq.deep-1	224152	5880	Endo_aerocyte
TASSeq.deep-1_719113	TASSeq.deep-1	160362	4961	Mo_Ly6Clo
TASSeq.deep-1_719164	TASSeq.deep-1	301790	7192	Pericyte
TASSeq.deep-1_719440	TASSeq.deep-1	94168	3632	Tcell_CD4T
TASSeq.deep-1_719582	TASSeq.deep-1	71295	3015	Endo_capillary
TASSeq.deep-1_719645	TASSeq.deep-1	235121	5817	Endo_aerocyte
TASSeq.deep-1_719682	TASSeq.deep-1	107245	3393	Endo_capillary
TASSeq.deep-1_719803	TASSeq.deep-1	161997	5260	Tcell_gdT
TASSeq.deep-1_719939	TASSeq.deep-1	629260	10112	Epi_AT2
TASSeq.deep-1_720008	TASSeq.deep-1	124627	4565	Endo_aerocyte
TASSeq.deep-1_720091	TASSeq.deep-1	132683	4985	Tcell_CD8T
TASSeq.deep-1_720211	TASSeq.deep-1	434841	8719	Mo_Ly6Chi
TASSeq.deep-1_720465	TASSeq.deep-1	75143	3478	Bcell
TASSeq.deep-1_720776	TASSeq.deep-1	249198	5807	FB_alveolar
TASSeq.deep-1_721118	TASSeq.deep-1	144162	4072	FB_alveolar
TASSeq.deep-1_721219	TASSeq.deep-1	777270	10224	Mac_AM
TASSeq.deep-1_721341	TASSeq.deep-1	93563	3775	Bcell
TASSeq.deep-1_721358	TASSeq.deep-1	90940	4037	Endo_capillary
TASSeq.deep-1_721583	TASSeq.deep-1	259776	6981	Bcell
TASSeq.deep-1_721642	TASSeq.deep-1	433444	8178	Epi_AT2
TASSeq.deep-1_721691	TASSeq.deep-1	198747	5675	FB_alveolar
TASSeq.deep-1_721869	TASSeq.deep-1	682017	9541	Mac_AM
TASSeq.deep-1_721957	TASSeq.deep-1	84551	3280	FB_alveolar
TASSeq.deep-1_722063	TASSeq.deep-1	71309	2923	Endo_capillary
TASSeq.deep-1_722175	TASSeq.deep-1	366725	7527	Epi_AT1
TASSeq.deep-1_722524	TASSeq.deep-1	175224	5081	Endo_capillary
TASSeq.deep-1_722856	TASSeq.deep-1	79898	3700	Endo_capillary
TASSeq.deep-1_723290	TASSeq.deep-1	610781	8860	Epi_AT2
TASSeq.deep-1_723622	TASSeq.deep-1	459679	8111	Mac_AM
TASSeq.deep-1_723773	TASSeq.deep-1	262438	7584	FB_alveolar
TASSeq.deep-1_723814	TASSeq.deep-1	190814	5535	Mo_Ly6Clo
TASSeq.deep-1_724020	TASSeq.deep-1	117532	4025	Endo_LEC
TASSeq.deep-1_724064	TASSeq.deep-1	208158	6904	Epi_ciliated
TASSeq.deep-1_724257	TASSeq.deep-1	74025	3523	NK
TASSeq.deep-1_724286	TASSeq.deep-1	286178	6736	Epi_AT1
TASSeq.deep-1_724287	TASSeq.deep-1	228269	5131	FB_alveolar
TASSeq.deep-1_724937	TASSeq.deep-1	80346	3538	Bcell
TASSeq.deep-1_725049	TASSeq.deep-1	283550	6211	FB_alveolar
TASSeq.deep-1_725237	TASSeq.deep-1	122832	4902	NK
TASSeq.deep-1_725305	TASSeq.deep-1	420562	7911	Epi_AT2
TASSeq.deep-1_725481	TASSeq.deep-1	394271	7904	Epi_AT2
TASSeq.deep-1_726111	TASSeq.deep-1	142086	4840	Bcell
TASSeq.deep-1_726143	TASSeq.deep-1	89565	3076	FB_alveolar
TASSeq.deep-1_726399	TASSeq.deep-1	30217	1328	Endo_capillary
TASSeq.deep-1_726711	TASSeq.deep-1	221598	5702	DC_cDC3
TASSeq.deep-1_726802	TASSeq.deep-1	538246	8262	Mac_AM
TASSeq.deep-1_726920	TASSeq.deep-1	276342	5890	Epi_AT2
TASSeq.deep-1_727262	TASSeq.deep-1	433581	9080	Epi_ciliated
TASSeq.deep-1_727322	TASSeq.deep-1	118937	4698	ILC2
TASSeq.deep-1_727325	TASSeq.deep-1	153969	5526	FB_alveolar
TASSeq.deep-1_727524	TASSeq.deep-1	75027	3210	FB_alveolar
TASSeq.deep-1_727632	TASSeq.deep-1	74798	2943	FB_alveolar
TASSeq.deep-1_727637	TASSeq.deep-1	67502	3337	Bcell
TASSeq.deep-1_727674	TASSeq.deep-1	299177	6696	Endo_venous
TASSeq.deep-1_727684	TASSeq.deep-1	112282	3949	Tcell_CD8T
TASSeq.deep-1_727770	TASSeq.deep-1	39043	3569	Endo_venous
TASSeq.deep-1_727848	TASSeq.deep-1	1040565	13092	Epi_clara
TASSeq.deep-1_727988	TASSeq.deep-1	138770	4890	Bcell
TASSeq.deep-1_728251	TASSeq.deep-1	177950	5617	Tcell_CD4T
TASSeq.deep-1_728401	TASSeq.deep-1	118212	4779	Bcell
TASSeq.deep-1_728409	TASSeq.deep-1	136341	4353	Pericyte
TASSeq.deep-1_728524	TASSeq.deep-1	225623	5594	FB_alveolar
TASSeq.deep-1_728842	TASSeq.deep-1	98514	4088	Mo_Ly6Clo
TASSeq.deep-1_728987	TASSeq.deep-1	58715	2706	Endo_capillary
TASSeq.deep-1_728991	TASSeq.deep-1	270279	5904	Endo_aerocyte
TASSeq.deep-1_729047	TASSeq.deep-1	77644	2670	Endo_capillary
TASSeq.deep-1_729236	TASSeq.deep-1	105279	3531	FB_alveolar
TASSeq.deep-1_729492	TASSeq.deep-1	90310	3975	Bcell
TASSeq.deep-1_729722	TASSeq.deep-1	229982	6464	Tcell_CD8T
TASSeq.deep-1_729725	TASSeq.deep-1	264971	6165	Epi_AT2
TASSeq.deep-1_729960	TASSeq.deep-1	39045	1657	FB_alveolar
TASSeq.deep-1_730208	TASSeq.deep-1	142120	5222	Tcell_CD8T
TASSeq.deep-1_730514	TASSeq.deep-1	134001	4735	Endo_capillary
TASSeq.deep-1_730634	TASSeq.deep-1	70106	2646	Endo_capillary
TASSeq.deep-1_730636	TASSeq.deep-1	252096	6594	Tcell_CD4T
TASSeq.deep-1_730883	TASSeq.deep-1	101012	4019	Bcell
TASSeq.deep-1_730996	TASSeq.deep-1	88453	3357	Pericyte
TASSeq.deep-1_731168	TASSeq.deep-1	154029	5125	FB_alveolar
TASSeq.deep-1_731256	TASSeq.deep-1	91872	3820	Bcell
TASSeq.deep-1_731492	TASSeq.deep-1	118533	4641	Pericyte
TASSeq.deep-1_731549	TASSeq.deep-1	327967	6911	Mac_AM
TASSeq.deep-1_732105	TASSeq.deep-1	673432	9387	Mac_AM
TASSeq.deep-1_732118	TASSeq.deep-1	84409	2812	Endo_arterial
TASSeq.deep-1_732477	TASSeq.deep-1	254488	6106	FB_alveolar
TASSeq.deep-1_732500	TASSeq.deep-1	322665	6767	Epi_AT2
TASSeq.deep-1_732555	TASSeq.deep-1	133929	4566	Tcell_Treg
TASSeq.deep-1_732601	TASSeq.deep-1	166496	5204	FB_alveolar
TASSeq.deep-1_732765	TASSeq.deep-1	132825	3680	Epi_AT1
TASSeq.deep-1_732959	TASSeq.deep-1	55542	2052	Pericyte
TASSeq.deep-1_732966	TASSeq.deep-1	442833	8025	Mac_AM
TASSeq.deep-1_732993	TASSeq.deep-1	123886	5017	Epi_ciliated
TASSeq.deep-1_733407	TASSeq.deep-1	91829	3828	Bcell
TASSeq.deep-1_733585	TASSeq.deep-1	244520	5213	FB_alveolar
TASSeq.deep-1_733706	TASSeq.deep-1	122559	4421	Mo_Ly6Clo
TASSeq.deep-1_733874	TASSeq.deep-1	114580	4856	Bcell
TASSeq.deep-1_733956	TASSeq.deep-1	698069	10442	Epi_AT2
TASSeq.deep-1_734155	TASSeq.deep-1	67097	3132	NK
TASSeq.deep-1_734322	TASSeq.deep-1	71953	3236	Bcell
TASSeq.deep-1_734592	TASSeq.deep-1	388848	7433	Mac_AM
TASSeq.deep-1_734624	TASSeq.deep-1	30152	1555	Epi_AT1
TASSeq.deep-1_734872	TASSeq.deep-1	72505	3186	Pericyte
TASSeq.deep-1_734894	TASSeq.deep-1	117149	4001	Endo_capillary
TASSeq.deep-1_735058	TASSeq.deep-1	78192	2657	Endo_capillary
TASSeq.deep-1_735359	TASSeq.deep-1	83190	3699	Endo_capillary
TASSeq.deep-1_735362	TASSeq.deep-1	484020	7882	Epi_AT2
TASSeq.deep-1_735372	TASSeq.deep-1	268386	6563	FB_alveolar
TASSeq.deep-1_735383	TASSeq.deep-1	43057	2030	Endo_capillary
TASSeq.deep-1_735427	TASSeq.deep-1	105719	4451	Bcell
TASSeq.deep-1_735430	TASSeq.deep-1	213151	6411	Tcell_CD8T
TASSeq.deep-1_735530	TASSeq.deep-1	41847	2250	NK
TASSeq.deep-1_735564	TASSeq.deep-1	302473	6831	Mo_Ly6Chi
TASSeq.deep-1_735742	TASSeq.deep-1	133803	4870	Bcell
TASSeq.deep-1_736041	TASSeq.deep-1	141449	3892	Epi_AT2
TASSeq.deep-1_736082	TASSeq.deep-1	225682	6075	Bcell
TASSeq.deep-1_736300	TASSeq.deep-1	149306	4467	Tcell_CD4T
TASSeq.deep-1_736605	TASSeq.deep-1	117227	3634	Endo_capillary
TASSeq.deep-1_736847	TASSeq.deep-1	108238	3864	Tcell_CD4T
TASSeq.deep-1_736849	TASSeq.deep-1	66163	2437	Endo_capillary
TASSeq.deep-1_736891	TASSeq.deep-1	58764	2954	Bcell
TASSeq.deep-1_736905	TASSeq.deep-1	29502	1320	Epi_AT2
TASSeq.deep-1_736998	TASSeq.deep-1	81982	2852	FB_peribronchiolar
TASSeq.deep-1_737005	TASSeq.deep-1	113343	4587	Bcell
TASSeq.deep-1_737265	TASSeq.deep-1	107061	4194	Pericyte
TASSeq.deep-1_737554	TASSeq.deep-1	107429	3808	Endo_capillary
TASSeq.deep-1_737649	TASSeq.deep-1	124423	5028	doublet
TASSeq.deep-1_737744	TASSeq.deep-1	140840	4139	Endo_capillary
TASSeq.deep-1_737943	TASSeq.deep-1	49115	2818	FB_alveolar
TASSeq.deep-1_738282	TASSeq.deep-1	97409	4461	FB_alveolar
TASSeq.deep-1_738328	TASSeq.deep-1	601008	9691	Epi_AT2
TASSeq.deep-1_738498	TASSeq.deep-1	102583	3655	Bcell
TASSeq.deep-1_738824	TASSeq.deep-1	48945	2376	Bcell
TASSeq.deep-1_738869	TASSeq.deep-1	246945	5264	Epi_AT2
TASSeq.deep-1_738876	TASSeq.deep-1	319205	6556	Epi_AT2
TASSeq.deep-1_738993	TASSeq.deep-1	79988	2991	FB_alveolar
TASSeq.deep-1_739131	TASSeq.deep-1	245221	5724	FB_alveolar
TASSeq.deep-1_739418	TASSeq.deep-1	115768	4350	Bcell
TASSeq.deep-1_739493	TASSeq.deep-1	120386	4470	Bcell
TASSeq.deep-1_739593	TASSeq.deep-1	54738	2585	Endo_capillary
TASSeq.deep-1_739717	TASSeq.deep-1	94263	3555	Endo_capillary
TASSeq.deep-1_739724	TASSeq.deep-1	352673	7994	Bcell
TASSeq.deep-1_739885	TASSeq.deep-1	115348	4538	FB_alveolar
TASSeq.deep-1_740176	TASSeq.deep-1	35509	1392	Endo_capillary
TASSeq.deep-1_740210	TASSeq.deep-1	48768	2641	Endo_arterial
TASSeq.deep-1_740298	TASSeq.deep-1	98807	3289	Endo_capillary
TASSeq.deep-1_740710	TASSeq.deep-1	275934	6577	Mo_Ly6Chi
TASSeq.deep-1_740796	TASSeq.deep-1	124549	4028	Endo_capillary
TASSeq.deep-1_740800	TASSeq.deep-1	169829	4513	FB_alveolar
TASSeq.deep-1_740803	TASSeq.deep-1	125469	4015	FB_alveolar
TASSeq.deep-1_740943	TASSeq.deep-1	199929	5127	Mo_Ly6Chi
TASSeq.deep-1_741104	TASSeq.deep-1	178560	5005	Endo_aerocyte
TASSeq.deep-1_741124	TASSeq.deep-1	43291	2213	Bcell
TASSeq.deep-1_741205	TASSeq.deep-1	271617	6053	Mac_IM
TASSeq.deep-1_741297	TASSeq.deep-1	104272	3820	Tcell_CD8T
TASSeq.deep-1_741460	TASSeq.deep-1	84646	3090	Endo_capillary
TASSeq.deep-1_741607	TASSeq.deep-1	130169	4375	Endo_capillary
TASSeq.deep-1_741608	TASSeq.deep-1	91672	3530	Endo_capillary
TASSeq.deep-1_741707	TASSeq.deep-1	39641	1546	FB_alveolar
TASSeq.deep-1_741810	TASSeq.deep-1	80026	2915	FB_alveolar
TASSeq.deep-1_741817	TASSeq.deep-1	304015	6877	Mac_AM
TASSeq.deep-1_741823	TASSeq.deep-1	145795	4712	Endo_capillary
TASSeq.deep-1_741979	TASSeq.deep-1	33989	1570	Bcell
TASSeq.deep-1_742139	TASSeq.deep-1	122142	4753	Bcell
TASSeq.deep-1_742180	TASSeq.deep-1	82089	3951	Bcell
TASSeq.deep-1_742345	TASSeq.deep-1	73893	3142	FB_alveolar
TASSeq.deep-1_742384	TASSeq.deep-1	120909	4369	Bcell
TASSeq.deep-1_742450	TASSeq.deep-1	283704	5808	Epi_AT2
TASSeq.deep-1_742453	TASSeq.deep-1	136039	4883	Bcell
TASSeq.deep-1_742675	TASSeq.deep-1	50514	2234	Endo_arterial
TASSeq.deep-1_742710	TASSeq.deep-1	119097	3601	Endo_capillary
TASSeq.deep-1_742769	TASSeq.deep-1	307658	6725	Mo_Ly6Chi
TASSeq.deep-1_742888	TASSeq.deep-1	86331	3222	FB_alveolar
TASSeq.deep-1_742937	TASSeq.deep-1	173069	4896	Tcell_CD8T
TASSeq.deep-1_742954	TASSeq.deep-1	192621	6953	Mac_AM
TASSeq.deep-1_742978	TASSeq.deep-1	278789	7385	Endo_aerocyte
TASSeq.deep-1_743051	TASSeq.deep-1	100481	3438	FB_alveolar
TASSeq.deep-1_743578	TASSeq.deep-1	245873	6058	FB_alveolar
TASSeq.deep-1_743985	TASSeq.deep-1	121734	4544	Tcell_CD4T
TASSeq.deep-1_744263	TASSeq.deep-1	393358	7563	Epi_AT2
TASSeq.deep-1_744267	TASSeq.deep-1	77706	2933	Endo_capillary
TASSeq.deep-1_744360	TASSeq.deep-1	111918	3821	Neutrophil
TASSeq.deep-1_744577	TASSeq.deep-1	82166	3760	Bcell
TASSeq.deep-1_744585	TASSeq.deep-1	107591	3645	Endo_aerocyte
TASSeq.deep-1_744643	TASSeq.deep-1	249449	6150	Epi_AT2
TASSeq.deep-1_744934	TASSeq.deep-1	113753	4264	Tcell_CD8T
TASSeq.deep-1_745266	TASSeq.deep-1	70931	3375	Basophil
TASSeq.deep-1_745671	TASSeq.deep-1	63453	2734	Endo_capillary
TASSeq.deep-1_745839	TASSeq.deep-1	293328	7287	Mo_Ly6Chi
TASSeq.deep-1_745863	TASSeq.deep-1	75058	3602	Bcell
TASSeq.deep-1_745870	TASSeq.deep-1	86415	3044	Bcell
TASSeq.deep-1_745944	TASSeq.deep-1	532154	7990	Epi_AT2
TASSeq.deep-1_746109	TASSeq.deep-1	174117	5923	Epi_ciliated
TASSeq.deep-1_746192	TASSeq.deep-1	139468	4004	Endo_capillary
TASSeq.deep-1_746340	TASSeq.deep-1	373694	8761	Epi_AT1
TASSeq.deep-1_746510	TASSeq.deep-1	89121	4182	Bcell
TASSeq.deep-1_746552	TASSeq.deep-1	151988	4739	FB_alveolar
TASSeq.deep-1_746821	TASSeq.deep-1	87377	3141	Endo_capillary
TASSeq.deep-1_746885	TASSeq.deep-1	196182	4979	FB_alveolar
TASSeq.deep-1_747029	TASSeq.deep-1	64409	3577	FB_alveolar
TASSeq.deep-1_747178	TASSeq.deep-1	100839	3863	Mo_Ly6Clo
TASSeq.deep-1_747193	TASSeq.deep-1	104867	4364	Endo_capillary
TASSeq.deep-1_747472	TASSeq.deep-1	81375	3286	Bcell
TASSeq.deep-1_747752	TASSeq.deep-1	289816	6143	Mo_Ly6Chi
TASSeq.deep-1_747861	TASSeq.deep-1	60038	2279	Endo_capillary
TASSeq.deep-1_747963	TASSeq.deep-1	47199	1900	Endo_capillary
TASSeq.deep-1_748046	TASSeq.deep-1	205806	6077	Endo_arterial
TASSeq.deep-1_748432	TASSeq.deep-1	74280	3043	Endo_capillary
TASSeq.deep-1_748507	TASSeq.deep-1	94630	4281	Endo_venous
TASSeq.deep-1_748956	TASSeq.deep-1	94639	3146	Endo_capillary
TASSeq.deep-1_749058	TASSeq.deep-1	176910	5640	Bcell
